ID,depth,treatment,ring,plant,plant_ID,Sample ID,perC,isoC,bd,mgCgsoil,gCm2
4,0,elevated,1,AMDU,1,4,0.16909,-25.64190,1584507,1.69094,267.93001
39,20,elevated,1,AMDU,1,39,0.09464,-27.27866,1167480,0.94640,110.49029
74,40,elevated,1,AMDU,1,74,0.06941,-29.01445,1548179,0.69408,107.45659
109,60,elevated,1,AMDU,1,109,0.13400,-26.13690,1417534,1.33997,189.94564
144,80,elevated,1,AMDU,1,144,0.10701,-25.31939,1383439,1.07009,148.03980
6,0,elevated,1,INSP,1,6,0.14912,-26.74747,1584507,1.49121,236.28310
41,20,elevated,1,INSP,1,41,0.12844,-24.67857,1167480,1.28443,149.95470
76,40,elevated,1,INSP,1,76,0.16835,-26.61513,1548179,1.68348,260.63240
111,60,elevated,1,INSP,1,111,0.10174,-27.72787,1417534,1.01742,144.22266
146,80,elevated,1,INSP,1,146,0.07794,-27.28040,1383439,0.77935,107.81838
1,0,elevated,1,LATR,1,1,0.44254,-24.42250,1584507,4.42536,701.20065
36,20,elevated,1,LATR,1,36,0.19698,-23.79989,1167480,1.96976,229.96522
71,40,elevated,1,LATR,1,71,0.23816,-27.11719,1548179,2.38165,368.72171
106,60,elevated,1,LATR,1,106,0.17170,-25.43356,1417534,1.71695,243.38375
141,80,elevated,1,LATR,1,141,0.12532,-26.25002,1383439,1.25321,173.37436
2,0,elevated,1,LYAN,1,2,0.23215,-26.11880,1584507,2.32153,367.84743
37,20,elevated,1,LYAN,1,37,0.12957,-26.25096,1167480,1.29575,151.27596
72,40,elevated,1,LYAN,1,72,0.23104,-27.49167,1548179,2.31044,357.69728
107,60,elevated,1,LYAN,1,107,0.15865,-25.24518,1417534,1.58646,224.88575
142,80,elevated,1,LYAN,1,142,0.11935,-23.86432,1383439,1.19350,165.11370
3,0,elevated,1,LYPA,1,3,0.29552,-24.59479,1584507,2.95524,468.26047
38,20,elevated,1,LYPA,1,38,0.10693,-26.49247,1167480,1.06929,124.83766
73,40,elevated,1,LYPA,1,73,0.17793,-27.59763,1548179,1.77929,275.46627
108,60,elevated,1,LYPA,1,108,0.17766,-25.61579,1417534,1.77656,251.83320
143,80,elevated,1,LYPA,1,143,0.09072,-26.16775,1383439,0.90719,125.50369
5,0,elevated,1,PLRI,1,5,0.19077,-23.13335,1584507,1.90774,302.28200
40,20,elevated,1,PLRI,1,40,0.14933,-24.68063,1167480,1.49335,174.34554
75,40,elevated,1,PLRI,1,75,0.18148,-27.71183,1548179,1.81480,280.96330
110,60,elevated,1,PLRI,1,110,0.12041,-25.01175,1417534,1.20406,170.67996
145,80,elevated,1,PLRI,1,145,0.09596,-23.96304,1383439,0.95959,132.75373
10,0,elevated,2,AMDU,2,10,0.17603,-26.35160,1683235,1.76026,296.29269
45,20,elevated,2,AMDU,2,45,0.15844,-24.30449,1607684,1.58442,254.72473
80,40,elevated,2,AMDU,2,80,0.20061,-26.72110,1327453,2.00607,266.29622
115,60,elevated,2,AMDU,2,115,0.13676,-27.78418,1448806,1.36755,198.13203
150,80,elevated,2,AMDU,2,150,0.09266,-28.26861,1169228,0.92656,108.33596
7,0,elevated,2,LATR,2,7,0.26437,-25.34038,1683235,2.64369,444.99535
42,20,elevated,2,LATR,2,42,0.21748,-24.10820,1607684,2.17475,349.63162
77,40,elevated,2,LATR,2,77,0.24326,-25.29930,1327453,2.43258,322.91320
112,60,elevated,2,LATR,2,112,0.14471,-25.33834,1448806,1.44707,209.65187
147,80,elevated,2,LATR,2,147,0.09705,-25.53225,1169228,0.97052,113.47598
8,0,elevated,2,LYAN,2,8,0.14175,-26.53723,1683235,1.41747,238.59278
43,20,elevated,2,LYAN,2,43,0.14557,-24.93755,1607684,1.45569,234.02911
78,40,elevated,2,LYAN,2,78,0.17150,-28.45668,1327453,1.71498,227.65569
113,60,elevated,2,LYAN,2,113,0.15717,-26.53515,1448806,1.57167,227.70397
148,80,elevated,2,LYAN,2,148,0.09397,-25.73894,1169228,0.93966,109.86822
9,0,elevated,2,LYPA,2,9,0.31383,-25.75267,1683235,3.13828,528.24709
44,20,elevated,2,LYPA,2,44,0.36450,-25.56239,1607684,3.64501,586.00224
79,40,elevated,2,LYPA,2,79,0.31977,-27.02562,1327453,3.19774,424.48456
114,60,elevated,2,LYPA,2,114,0.28186,-25.84717,1448806,2.81864,408.36595
149,80,elevated,2,LYPA,2,149,0.16464,-24.35071,1169228,1.64641,192.50338
46,20,elevated,2,PLRI,2,46,0.15862,-25.07526,1607684,1.58619,255.00897
81,40,elevated,2,PLRI,2,81,0.18907,-26.83324,1327453,1.89074,250.98717
116,60,elevated,2,PLRI,2,116,0.11265,-27.16786,1448806,1.12653,163.21221
151,80,elevated,2,PLRI,2,151,0.08662,-27.69070,1169228,0.86622,101.28045
15,0,elevated,3,AMDU,3,15,0.14796,-25.16056,1326852,1.47955,196.31477
50,20,elevated,3,AMDU,3,50,0.18580,-24.29830,1529330,1.85800,284.14951
85,40,elevated,3,AMDU,3,85,0.16514,-27.49167,1315731,1.65138,217.27673
120,60,elevated,3,AMDU,3,120,0.11599,-25.38339,1169335,1.15994,135.63580
155,80,elevated,3,AMDU,3,155,0.11949,-25.79036,1080506,1.19487,129.10669
52,20,elevated,3,INSP,3,52,0.10252,-26.58085,1529330,1.02524,156.79295
87,40,elevated,3,INSP,3,87,0.18361,-25.80341,1315731,1.83615,241.58783
122,60,elevated,3,INSP,3,122,0.14994,-24.71281,1169335,1.49935,175.32472
157,80,elevated,3,INSP,3,157,0.19572,-24.47103,1080506,1.95718,211.47418
12,0,elevated,3,LATR,3,12,0.25792,-24.49223,1326852,2.57921,342.22335
47,20,elevated,3,LATR,3,47,0.14979,-24.44631,1529330,1.49790,229.07856
82,40,elevated,3,LATR,3,82,0.19155,-28.18199,1315731,1.91550,252.02873
117,60,elevated,3,LATR,3,117,0.20252,-25.56051,1169335,2.02525,236.81939
152,80,elevated,3,LATR,3,152,0.17271,-25.70501,1080506,1.72714,186.61873
13,0,elevated,3,LYAN,3,13,0.34719,-25.40807,1326852,3.47189,460.66848
48,20,elevated,3,LYAN,3,48,0.28606,-25.19345,1529330,2.86057,437.47584
83,40,elevated,3,LYAN,3,83,0.32973,-25.29725,1315731,3.29733,433.83982
118,60,elevated,3,LYAN,3,118,0.21638,-25.74888,1169335,2.16376,253.01637
153,80,elevated,3,LYAN,3,153,0.30835,-24.38053,1080506,3.08347,333.17099
14,0,elevated,3,LYPA,3,14,0.36915,-23.34769,1326852,3.69146,489.80208
49,20,elevated,3,LYPA,3,49,0.35082,-24.15650,1529330,3.50823,536.52421
84,40,elevated,3,LYPA,3,84,0.25739,-26.06781,1315731,2.57389,338.65417
119,60,elevated,3,LYPA,3,119,0.13766,-25.04656,1169335,1.37657,160.96748
154,80,elevated,3,LYPA,3,154,0.17646,-25.69061,1080506,1.76460,190.66639
16,0,elevated,3,PLRI,3,16,0.17557,-25.24072,1326852,1.75574,232.96056
51,20,elevated,3,PLRI,3,51,0.17725,-29.03280,1529330,1.77253,271.07791
86,40,elevated,3,PLRI,3,86,0.19549,-27.09147,1315731,1.95492,257.21536
121,60,elevated,3,PLRI,3,121,0.16633,-25.36291,1169335,1.66334,194.49981
156,80,elevated,3,PLRI,3,156,0.13596,-24.74250,1080506,1.35964,146.91041
21,0,ambient,4,AMDU,1,21,0.20028,-25.46887,1487569,2.00276,297.92424
56,20,ambient,4,AMDU,1,56,0.29827,-25.66247,1294035,2.98274,385.97702
91,40,ambient,4,AMDU,1,91,0.31342,-24.80342,1015288,3.13417,318.20802
126,60,ambient,4,AMDU,1,126,0.22222,-24.91245,1438654,2.22218,319.69450
161,80,ambient,4,AMDU,1,161,0.11867,-27.34231,1076229,1.18666,127.71128
23,0,ambient,4,INSP,1,23,0.13223,-26.65587,1487569,1.32228,196.69852
58,20,ambient,4,INSP,1,58,0.12310,-24.89644,1294035,1.23099,159.29467
93,40,ambient,4,INSP,1,93,0.15693,-25.77564,1015288,1.56929,159.32814
128,60,ambient,4,INSP,1,128,0.12070,-26.50137,1438654,1.20695,173.63877
163,80,ambient,4,INSP,1,163,0.11134,-26.13418,1076229,1.11336,119.82280
18,0,ambient,4,LATR,1,18,0.61262,-23.56968,1487569,6.12621,911.31656
53,20,ambient,4,LATR,1,53,0.28068,-25.87337,1294035,2.80682,363.21207
88,40,ambient,4,LATR,1,88,0.17482,-27.37130,1015288,1.74820,177.49305
123,60,ambient,4,LATR,1,123,0.12701,-26.23314,1438654,1.27009,182.72179
158,80,ambient,4,LATR,1,158,0.09955,-29.26711,1076229,0.99548,107.13641
19,0,ambient,4,LYAN,1,19,0.46388,-24.07223,1487569,4.63879,690.05204
54,20,ambient,4,LYAN,1,54,0.24518,-25.87440,1294035,2.45184,317.27638
89,40,ambient,4,LYAN,1,89,0.15495,-28.41244,1015288,1.54954,157.32296
124,60,ambient,4,LYAN,1,124,0.09817,-25.77038,1438654,0.98173,141.23733
159,80,ambient,4,LYAN,1,159,0.21090,-24.18969,1076229,2.10895,226.97145
20,0,ambient,4,LYPA,1,20,0.56424,-23.99823,1487569,5.64242,839.34924
55,20,ambient,4,LYPA,1,55,0.35483,-24.65939,1294035,3.54828,459.15967
90,40,ambient,4,LYPA,1,90,0.18110,-23.19336,1015288,1.81103,183.87189
125,60,ambient,4,LYPA,1,125,0.12404,-26.68053,1438654,1.24037,178.44570
160,80,ambient,4,LYPA,1,160,0.15885,-24.00406,1076229,1.58850,170.95877
