plant,ID,ring,treatment,isoCfum,ugCgsoil,MBC,isoCDOC
LATR,1,1,elevated,-24.14,81.51848152,58.82438729,-23.19
LATR,6,1,elevated,-22.47,27.13434811,4.298129738,-21.66
LATR,7,1,elevated,-24.23,42.11929357,18.7461196,-22.17
LATR,1,2,elevated,-24.09,27.563249,4.225483044,-22.92
LATR,6,2,elevated,-24.7,21.64502165,5.349710704,-23.33
LATR,7,2,elevated,-24.82,31.78940353,12.5958014,-23.16
LATR,2,3,elevated,-23.53,18.12749004,-7.47250996,-22.53
LATR,5,3,elevated,-22.77,30.46357616,-10.45306283,-21.85
LATR,6,3,elevated,-24.52,39.98667111,-36.68908631,-23.26
LATR,1,4,ambient,-22.59,76.67575742,30.05133582,-22.02
LATR,2,4,ambient,-23.73,65.14290387,2.152375079,-22.90
LATR,6,4,ambient,-22.42,93.06612282,-36.1186693,-21.95
LATR,1,5,ambient,-20.77,22.71281799,7.060006657,-19.75
LATR,2,5,ambient,-22.36,66.16086721,-11.71567217,-21.74
LATR,5,5,ambient,-23.45,74.45201613,13.6501228,-22.17
LATR,1,6,ambient,-16.41,12.44928814,4.938701134,-18.70
LATR,2,6,ambient,-22.65,98.69904433,26.53966555,-21.90
LATR,6,6,ambient,-22.22,41.21587035,3.789916714,-21.67
INSP,2,1,elevated,-22.81,23.68095691,4.87115637,-20.89
INSP,3,1,elevated,-23.61,28.41221228,3.827154072,-22.28
INSP,4,1,elevated,-22.93,44.10015289,20.56702822,-20.77
INSP,1,3,elevated,-23.39,38.19488954,8.119514715,-22.19
INSP,2,3,elevated,-25.18,40.45903985,18.20270556,-23.49
INSP,4,3,elevated,-21.94,22.54991819,1.296014319,-20.91
INSP,2,4,ambient,-22.03,15.38175955,1.454888289,-19.39
INSP,3,4,ambient,-21.49,27.82378271,20.23962984,-17.21
INSP,4,4,ambient,-22.54,30.99198674,14.25678034,-18.22
INSP,2,5,ambient,-22.45,28.41031392,13.00720482,-18.30
INSP,3,5,ambient,-21.16,36.12640115,7.200573717,-21.29
INSP,4,5,ambient,-21.82,17.35412817,5.237182241,-18.53
INSP,1,6,ambient,-22.51,35.08163017,17.46938235,-18.17
INSP,2,6,ambient,-22.08,108.4385382,72.05777636,-20.75
INSP,3,6,ambient,-22.76,41.9239395,14.13418213,-19.14
