Sample,depth,ring,treatment,plant,hf_perC,hf_isoC,hf_perN,hf_isoN,hf_mgCgsoil,hf_gCperm2,hf_mgNgsoil,hf_gNperm2,hf_CN
1,80,1,elevated,LATR,0.203441217,-24.96244052,0.017427865,8.517186067,2.020345857,279.5025253,0.173073658,23.94368485,11.67332961
2,80,1,elevated,AMDU,0.105642921,-26.4718672,0.007858452,4.141496826,1.055670278,146.0455434,0.078528069,10.8638793,13.4432222
3,80,1,elevated,PLRI,0.133597269,-27.02989767,0.0112801,8.16315941,1.329635013,183.9468932,0.11226589,15.53130106,11.84362421
5,80,1,elevated,LYAN,0.106228452,-28.23540612,0.007884242,5.755176402,1.058886571,146.4904978,0.078590222,10.87247785,13.4735154
6,80,1,elevated,INSP,0.171759334,-25.72985947,0.010827808,7.132169601,1.713334051,237.0293147,0.108009571,14.94246529,15.86279841
7,80,2,elevated,LATR,0.16630898,-26.17912991,0.014504273,6.568535094,1.643377242,192.1482685,0.143323547,16.75779036,11.46620553
8,80,2,elevated,AMDU,0.149374096,-28.19678106,0.011128405,6.32312353,1.483432307,173.447059,0.110516057,12.92184682,13.42277628
9,80,2,elevated,PLRI,0.128591052,-25.64142842,0.013336803,6.031231275,1.283855696,150.1120028,0.133154918,15.56884588,9.641819564
10,80,2,elevated,LYPA,0.187822903,-26.88962772,0.018106916,7.085974522,1.843313523,215.5253784,0.177703158,20.77755086,10.37299246
11,80,2,elevated,LYAN,0.128047912,-27.60114198,0.010581483,4.992824807,1.277202662,149.3341114,0.105544075,12.34050879,12.10113084
13,80,3,elevated,LATR,0.213089901,-24.84453244,0.021121431,9.032395197,2.097875708,226.6767289,0.207941045,22.46815471,10.08880043
14,80,3,elevated,AMDU,0.116657985,-27.7698725,0.007747432,7.140165575,1.164526835,125.8278233,0.077337974,8.356414447,15.05763316
15,80,3,elevated,PLRI,0.143774418,-25.88740906,0.014473055,8.182000202,1.427628124,154.2560754,0.143712216,15.52819116,9.933937168
16,80,3,elevated,LYPA,0.152277313,-24.47962727,0.016689741,8.729114518,1.499815834,162.0560008,0.164381268,17.76149458,9.124006992
17,80,3,elevated,LYAN,0.129115812,-26.58367659,0.01039393,8.184015356,1.279692634,138.2715569,0.103016322,11.1309754,12.42223183
18,80,3,elevated,INSP,0.218722439,-25.96160983,0.019511367,9.181516594,2.155304954,232.8819935,0.192266266,20.77448542,11.21000057
19,80,4,ambient,LATR,0.131757145,-27.57166496,0.011199699,7.768893629,1.30308512,140.2417996,0.110765609,11.92091611,11.7643475
20,80,4,ambient,AMDU,0.13490825,-25.38629973,0.011276223,8.36134891,1.33948011,144.1587339,0.111959619,12.04941883,11.96395743
21,80,4,ambient,PLRI,0.126873384,-26.78493348,0.010887912,6.129251945,1.257064285,135.2889038,0.107877671,11.61010783,11.6526828
22,80,4,ambient,LYPA,0.132464853,-27.23623681,0.011822454,5.819874207,1.315493319,141.5772059,0.117407443,12.63572953,11.2045138
23,80,4,ambient,LYAN,0.166775292,-25.44322087,0.016940342,9.121384441,1.641265864,176.637792,0.166712976,17.94213393,9.844859741
24,80,4,ambient,INSP,0.138810988,-27.50356288,0.011230806,8.957046474,1.37404101,147.8782782,0.111169785,11.96441467,12.35984226
25,80,5,ambient,LATR,0.141229564,-26.04089285,0.012819505,7.659482275,1.400432357,238.4766851,0.127118216,21.64669398,11.01677168
26,80,5,ambient,AMDU,0.134116667,-27.97926098,0.010500382,7.12412362,1.33328124,227.0416625,0.104386445,17.77574851,12.77255146
27,80,5,ambient,PLRI,0.116872279,-25.88029392,0.010452915,4.968574081,1.158273188,197.2399088,0.103594552,17.64089874,11.18083107
28,80,5,ambient,LYPA,0.19890242,-24.79574289,0.017856895,7.48707864,1.95403277,332.748137,0.175427515,29.87318312,11.13869036
29,80,5,ambient,LYAN,0.158223428,-26.51557451,0.014672236,8.376318441,1.549914157,263.931627,0.143725283,24.47467668,10.78386573
30,80,5,ambient,INSP,0.159070916,-26.37937035,0.013478898,8.030502963,1.565277138,266.5477568,0.132633995,22.58596446,11.80147774
31,80,6,ambient,LATR,0.163657482,-24.69308155,0.013227974,7.534464435,1.608884967,224.3611002,0.130041649,18.13447695,12.37207452
32,80,6,ambient,AMDU,0.131918837,-26.10289624,0.008460276,6.770242475,1.303536446,181.7798519,0.083598967,11.65798464,15.59273387
33,80,6,ambient,PLRI,0.185422805,-26.9058909,0.015824742,8.438500048,1.812110056,252.701103,0.154652902,21.56654825,11.71727158
34,80,6,ambient,LYPA,0.162691653,-25.63532972,0.013996782,5.907809834,1.613772091,225.042616,0.138836966,19.36099537,11.62350446
35,80,6,ambient,LYAN,0.147632161,-26.86828229,0.015704651,3.86354501,1.467538894,204.6502065,0.156112229,21.7700533,9.400537687
36,80,6,ambient,INSP,0.157183614,-26.36209072,0.013499926,5.184781952,1.565738883,218.3443226,0.134475588,18.75279556,11.64329456
37,60,1,elevated,LATR,0.205464179,-25.9463631,0.012987737,7.921597432,2.03549253,288.5379869,0.12866691,18.238972,15.81986018
38,60,1,elevated,AMDU,0.136519821,-26.89166062,0.010495123,6.434867708,1.360730011,192.8881055,0.104607733,14.82850181,13.00792945
39,60,1,elevated,PLRI,0.14203886,-24.00661669,0.015846877,8.389754811,1.422774189,201.6830787,0.158734924,22.50121519,8.963208299
40,60,1,elevated,LYPA,0.142386952,-26.91487667,0.014108529,8.330854317,1.399422965,198.3729633,0.138662982,19.65594918,10.09226069
